D_prof,E_act,D_surf,Drain
-5.9,1.7,-5.9,0.0
-5.1000000000000005,1.5,-5.1000000000000005,0.0
-7.1000000000000005,2.0,-7.1000000000000005,0.0
-8.0,0.9,-8.0,0.0
-0.2999999999999998,2.7,-0.2999999999999998,0.0
0.0,0.7,0.0,26.7
0.0,1.3,0.0,23.099999999999998
0.0,1.5,0.0,9.9
0.0,2.3,0.0,5.3
0.0,1.8,0.0,7.3999999999999995
0.0,1.8,0.0,0.7
0.0,1.6,0.0,5.4
0.0,1.4,0.0,2.8000000000000003
-1.9,1.9,-1.9,0.0
-4.199999999999999,2.3,-4.199999999999999,0.0
-7.199999999999999,3.0,-7.199999999999999,0.0
-10.5,3.3,-10.5,0.0
-13.1,2.6,-13.1,0.0
-16.2,3.1,-16.2,0.0
-19.4,3.2,-19.4,0.0
-22.799999999999997,3.4,-20.0,0.0
-25.199999999999996,2.4,-20.0,0.0
-28.299999999999997,3.1,-20.0,0.0
-29.099999999999998,3.2,-20.0,0.0
-31.299999999999997,2.2,-20.0,0.0
-33.699999999999996,2.4,-20.0,0.0
-35.99999999999999,2.3,-20.0,0.0
-38.099999999999994,2.1,-20.0,0.0
-41.3,3.2,-20.0,0.0
-44.976499999999994,3.6765,-20.0,0.0
-46.87649999999999,1.9,-20.0,0.0
-50.02323249999999,3.1467325000000006,-20.0,0.0
-52.87102541249999,2.847792912500001,-20.0,0.0
-52.171025412499986,1.9,-19.299999999999997,0.0
-54.071025412499985,1.9,-20.0,0.0
-55.97102541249998,1.9,-20.0,0.0
-58.253777998312486,2.282752585812502,-20.0,0.0
-60.3196690884728,2.0658910901603136,-20.0,0.0
-60.92230052506788,2.0026314365950837,-20.0,0.0
-62.73468197518643,1.8123814501185516,-20.0,0.0
-64.37488718754372,1.640205212357289,-20.0,0.0
-65.85927290472706,1.484385717183347,-20.0,0.0
-56.05927290472706,2.4,-10.200000000000001,0.0
-43.65927290472706,2.5,0.0,0.0
-43.05927290472706,2.0,0.0,0.0
-47.85927290472706,4.8,-4.8,0.0
-52.159272904727054,4.3,-9.1,0.0
-56.95927290472705,4.8,-13.899999999999999,0.0
-61.45927290472705,4.5,-18.4,0.0
-63.220641978777984,1.76136907405093,-20.0,0.0
-64.81468099079407,1.5940390120160908,-20.0,0.0
-66.25728629666864,1.4426053058745634,-20.0,0.0
-67.56284409848512,1.3055578018164793,-20.0,0.0
-68.74437390912902,1.181529810643914,-20.0,0.0
-67.64437390912902,4.1,-18.9,0.0
-68.81815838776176,1.1737844786327436,-20.0,0.0
-68.81815838776176,1.3000000000000007,-20.0,0.0
-69.88043334092438,1.0622749531626337,-20.0,0.0
-70.84179217353656,0.9613588326121834,-20.0,0.0
-69.84179217353656,2.4,-19.0,0.0
-70.84179217353656,1.0,-20.0,0.0
-71.71182191705059,0.870029743514027,-20.0,0.0
-71.71182191705057,1.8999999999999986,-20.0,0.0
-70.61182191705056,3.6,-18.900000000000002,0.0
-71.71182191705056,2.4999999999999964,-20.0,0.0
-63.91182191705056,2.0,-12.2,0.0
-51.51182191705056,3.0,0.0,0.0
-45.311821917050565,2.0,0.0,0.0
-46.311821917050565,4.7,-1.0,0.0
-50.01182191705057,3.7,-4.7,0.0
-55.11182191705057,5.1,-9.8,0.0
-59.91182191705057,4.8,-14.600000000000001,0.0
-59.91182191705057,3.7,-14.600000000000001,0.0
-65.31182191705057,5.399999999999999,-20.0,0.0
-66.70719883493076,1.3953769178801965,-20.0,0.0
-67.97001494561235,1.2628161106815776,-20.0,0.0
-69.11286352577918,1.1428485801668273,-20.0,0.0
-70.14714149083015,1.0342779650509781,-20.0,0.0
-71.08316304920129,0.9360215583711362,-20.0,0.0
-71.93026255952716,0.8470995103258776,-20.0,0.0
-72.69688761637208,0.7666250568449193,-20.0,0.0
-72.6968876163721,3.6000000000000014,-20.0,0.0
-73.39068329281675,0.6937956764446511,-20.0,0.0
-74.01856837999915,0.6278850871824089,-20.0,0.0
-74.58680438389923,0.5682360039000809,-20.0,0.0
-75.1010579674288,0.5142535835295723,-20.0,0.0
-75.56645746052307,0.46539949309426376,-20.0,0.0
-75.98764400177338,0.4211865412503091,-20.0,0.0
-76.3688178216049,0.3811738198315293,-20.0,0.0
-76.71378012855244,0.3449623069475338,-20.0,0.0
-77.02597101633997,0.31219088778751747,-20.0,0.0
-77.30850376978766,0.2825327534477031,-20.0,0.0
-77.56419591165783,0.2556921418701714,-20.0,0.0
-77.79559730005033,0.23140138839250568,-20.0,0.0
-78.00501555654554,0.20941825649521828,-20.0,0.0
-78.19453907867371,0.18952352212817392,-20.0,0.0
-78.36605786619971,0.17151878752599714,-20.0,0.0
-78.52128236891073,0.15522450271102706,-20.0,0.0
-78.66176054386422,0.14047817495348003,-20.0,0.0
-62.46176054386422,3.1,-3.7999999999999994,0.0
-65.26176054386423,2.8,-6.6,0.0
-70.26176054386423,5.0,-11.6,0.0
-76.76176054386423,6.5,-18.1,0.0
-78.66176054386423,1.8999999999999986,-20.0,0.0
-78.78889329219713,0.12713274833289745,-20.0,0.0
-78.28889329219713,5.4,-19.5,0.0
-76.18889329219712,2.6,-17.400000000000002,0.0
-78.78889329219712,2.599999999999998,-20.0,0.0
-78.90394842943839,0.11505513724127336,-20.0,0.0
-79.00807332864174,0.10412489920335322,-20.0,0.0
-79.10230636242078,0.09423303377903469,-20.0,0.0
-79.10230636242078,1.1999999999999993,-20.0,0.0
-75.50230636242077,4.1,-16.4,0.0
-79.10230636242076,3.6,-20.0,0.0
-77.40230636242076,3.8,-18.3,0.0
-79.10230636242076,1.6999999999999993,-20.0,0.0
-79.18758725799078,0.08528089557002794,-20.0,0.0
-79.26476646848167,0.0771792104908755,-20.0,0.0
-79.26476646848167,1.3999999999999986,-20.0,0.0
-65.36476646848168,2.9,-6.1,0.0
-68.26476646848168,2.9,-9.0,0.0
-72.66476646848169,4.4,-13.4,0.0
-75.66476646848169,3.0,-16.4,0.0
-79.2647664684817,3.6000000000000014,-20.0,0.0
-79.33461365397594,0.06984718549423885,-20.0,0.0
-79.39782535684822,0.0632117028722865,-20.0,0.0
-79.45503194794763,0.05720659109941906,-20.0,0.0
-79.50680391289261,0.051771964944975046,-20.0,0.0
-79.55365754116781,0.04685362827520212,-20.0,0.0
-79.59606007475686,0.04240253358905832,-20.0,0.0
-79.63443436765496,0.038374292898097906,-20.0,0.0
-79.66916310272774,0.03472873507277807,-20.0,0.0
-79.7005926079686,0.03142950524086441,-20.0,0.0
-79.72903631021158,0.028443702242982205,-20.0,0.0
-79.75477786074148,0.025741550529899015,-20.0,0.0
-79.77807396397104,0.02329610322955844,-20.0,0.0
-79.79915693739379,0.021082973422751117,-20.0,0.0
-79.81823702834137,0.019080090947589667,-20.0,0.0
-79.83550451064895,0.017267482307570248,-20.0,0.0
-79.8511315821373,0.015627071488349742,-20.0,0.0
-79.86527408183426,0.014142499696956357,-20.0,0.0
-79.87807304406,0.012798962225745392,-20.0,0.0
-79.8896561048743,0.011583060814300161,-20.0,0.0
-79.90013877491124,0.010482670036941144,-20.0,0.0
-79.90962559129467,0.00948681638343185,-20.0,0.0
-79.91821116012167,0.008585568827006895,-20.0,0.0
-79.92598109991012,0.007769939788441427,-20.0,0.0
-77.52598109991013,4.2,-17.6,0.0
-79.92598109991013,2.3999999999999986,-20.0,0.0
-79.93301289541867,0.007031795508537719,-20.0,0.0
-79.9393766703539,0.006363774935226552,-20.0,0.0
-79.94513588667027,0.005759216316380211,-20.0,0.0
-79.95034797743659,0.005212090766323563,-20.0,0.0
-79.95506491958011,0.00471694214352425,-20.0,0.0
